class,text
depression,What people never understand is that depression isn’t about the outside; it’s about the inside
depression,When depression takes over and I can’t push through it
depression,I have to close my door and shut the world out. It’s the only way I know how to survive
depression,"When you’re depressed you don’t control your thoughts, your thoughts control you"
depression,"Sleep just isn’t sleep anymore, it’s an escape"
depression,"my moods don’t just swing-they bounce, pivot, recoil, rebound, oscillate, fluctuate and occasionally pirouette"
depression,I am not using my depression as an excuse.
depression,"it feels like everyone else is moving on with their lives while I am stuck here, in this hole that I can’t climb out of"
depression,there comes a point where you no longer care if there’s a light at the end of the tunnel or not. You’re just sick of the tunnel
depression,"It feels like everyone else is moving on with their lives while I am stuck here, in this hole that I can’t climb out of."
depression,I hide all my scars with an “I’m fine.”
depression,People think depression is sadness
depression,People think depression is crying
depression,People think depression is dressing in black
depression,Depression is the constant feeling of being numb.
depression,Being numb to emotions
depression,being numb to life
depression,you wake up in the morning just to go back to bed again
depression,Depression is like a bruise that never goes away
depression,A bruise in your mind
depression,You just got to be careful not to touch it where it hurts. It’s always there though
depression,"It all starts with not wanting to get out of bed, that’s how you know you’re getting bad again."
depression,"I miss me. The old me, the happy me, the bright me, the smiling me, the laughing me, the gone me"
depression,"Depression exist without you knowing it, even denying it."
depression,It is not an illusion. You don’t even know you’re in it. It takes awhile before you realize it
depression,You don’t understand depression until you can’t stand your own presence in an empty room
depression,I wanted to talk about it. Damn it
depression,i wanted to scream
depression,i wanted to yell
depression,I wanted to shout about it
depression,"You will feel better than this, maybe not yet, but you will. You just keep living until you are alive again"
depression,"you smile, but you wanna cry. You talk, but you wanna be quiet"
depression,You pretend like you’re happy but you aren’t
depression,My body and heart weren’t made for this
depression,I’m tired of being tired and I’m tired of being sad.
depression,Every thought is a battle
depression,"Every breath is a war, and I don’t think I’m winning anymore"
depression,"if you are chronically down, it is a lifelong fight to keep from sinking"
depression,Sad hurts but it’s a healthy feeling. It is a necessary thing to feel. Depression is very different.
depression,Nobody ever tells you that emptiness weighs the most.
depression,It felt like this was never going to end. The world wasn’t going to stop crashing down until there wa nothing left of me but dust
depression,I didn't want to wake up
depression,I was having a much better time asleep than awake
depression,And that's really sad
depression,It was almost like a reverse nightmare
depression,like when you wake up from a nightmare you're so relieved. I woke up into a nightmare
depression,Depression is melancholy minus its charms
depression,"I thought by masking the depression with silence, the feelings might disappear."
depression,I want to sleep until I feel better.”
depression,Anyone who has actually been that sad can tell you that there’s nothing beautiful or literary or mysterious about depression.
depression,I am sad all the time and the sadness is so heavy that I can’t get away from it.
depression,"I feel so disconnected from the world, and I feel like no one even notices me or cares about me anymore"
depression,"it's so difficult to describe depression to someone who's never been there, because it's not sadness"
depression,"somehow, like so many people who get depressed"
depression,we felt our depressions were more complicated and existentially based than they actually were
depression,"it's so difficult to describe depression to someone who's never been there, because it's not sadness"
depression,You are allowed to feel messed up and inside out. It doesn't mean you're defective - it just means you're human
depression,There are wounds that never show on the body that are deeper and more hurtful than anything that bleeds
depression,Depression isn’t just being a bit sad. It’s feeling nothing. It’s not wanting to be alive anymore
depression,And I knew it was bad when I woke up in the mornings and the only thing I looked forward to was going back to bed
depression,the only thing more exhausting than being depressed is pretending that you're not
depression,"It's not the feeling of completeness I need, but the feeling of not being empty"
depression,Depression has nothing to do with having a bad day or being sad
depression,"She was drowning, but nobody saw her struggle"
depression,My silence is just another word for my pain.
depression,Sometimes I wonder if I will ever be happy with myself. 
depression,"I worry that if I can't be happy with myself, then nobody will ever be happy with me"
depression,sometimes I get so sad. So sad that I completely shut down
depression,I stare blankly at the wall and it doesn't matter what you say to me. Because in that moment. I don't exist
depression,I miss the person I used to be
depression,When a depressed person shrinks away from your touch it does not mean she is rejecting you.
depression,Rather she is protecting you from the foul
depression,destructive evil which she believes is the essence of her being and which she believes can injure you.
depression,"My life is just one constant battle between wanting to be alone, but not wanting to be lonely"
depression,"that feeling when you're not necessarily sad, but you just feel really empty"
depression,I'm exhausted from trying to be stronger than I feel
depression,It's not always the tears that measure the pain. Sometimes it's the smile we fake.
depression,I want to be happy but something inside me screams that I do not deserve it.
depression,I want to be happy but something inside me screams that I do not deserve it.
depression,the worst kind of pain is when you're smiling just to stop the tears for falling
depression,"Depression is living in a body that fights to survive, with a mind that tries to die"
depression,"it's a bit like walking down a long, dark corridor, never knowing when the light will go on"
depression,Depression is feeling like you're lost something but having no clue when or where you last had it. 
depression,"Sometimes just the thought of facing the day, feels like broken glass in my soul."
depression,"Saying ""I'm tired"" when you're actually sad."
depression,Depression is the overwhelming sense of numbness and the desire for anything that can help you make it from one day to the next
depression,"People think depression is sadness, crying or dressing in black"
depression,Depression is the constant feeling of being numb. You wake up in the morning just to go back to bed again
depression,im the type of girl who smiles to make everyone's day. Even though I'm dying on the inside
depression,I am not living. I am surviving
depression,"I hate this feeling. Like I'm here, but I'm not"
depression,But they don't. Like I belong somewhere else
depression,Sometimes you just need someone to tell you you're not as terrible as yo u think you are.
depression,I feel lost inside of myself.
depression,"You sometimes think you want to disappear, but all you really want is to be found."
depression,I wish I could go back to a time when I could smile and it didn't take everything in me to do it
depression,Why does everything always feel worse at night
depression,I define depression as a comparison of your current reality to a fantasy about how you wish your life would be
depression,Depression makes you isolated. It's very hard to think of other people when you're wrapped in a prickly blanket of sadness and all you can think about is your own pain.
depression,"im not sure if I'm depressed. I mean, I'm not sad, but I'm not exactly happy either"
depression,"I can laugh and joke and smile during the day, but sometimes when I'm alone at night I forget how to feel."
depression,the worst kind of sad is not being able to explain why
depression,"Crying is how your heart speaks, when your lips can't explain the pain you feel."
depression,"You hate when people see you cry because you want to be that strong girl. At the same time, though, you hate how nobody notices how torn apart and broken you are."
depression,She says she's fine but she's going insane
depression,She says she feels good but she's in a lot of pain
depression,She says it's nothing but it's really a lot.
depression,"she says she's okay. but really she's not."""
depression,"It's hard to answer the question ""What's wrong?"" when nothing's right"
depression,"That feeling when you're not necessarily sad, but you just feel really empty."
depression,And then suddenly I became sad for no reason at all
depression,"That's the thing about depression: A human being can survive almost anything, as long as she sees the end in sight"
depression,"But depression is so insidious, and it compounds daily, that it's impossible to ever see the end. "
depression,The fog is like a cage without a key
depression,When you have depression simply existing is a full time job
depression,Depression is a prison where you are both the suffering prisoner and the cruel jailer
depression,"The most terrible poverty is loneliness, and the feeling of being unloved."
depression,"Sometimes, what a person needs is not a brilliant mind that speaks, but a patient heart that listens"
depression,Every day begins with an act of courage and hope: getting out of bed
depression,Depression is a flaw in chemistry not character
depression,There's nothing more depressing than having it all and still feeling sad.
depression,It's really sad how one day I'll seem to have everything going right then the next day I'll lose everything so fast
depression,Our sorrows and wounds are healed only when we touch them with compassion.
depression,Depression is like a bruise that never goes away. A bruise in your mind
depression,The primary cause of unhappiness is never the situation but your thoughts about it.
depression,Grief is depression in proportion to circumstance; 
depression,depression is grief out of proportion to circumstance.
depression,She hurts and she cries. But you can't see the depression in her eyes. Because she just smiles
depression,Depression and I are old friends but I do not court his company.
positive,"All our dreams can come true, if we have the courage to pursue them"
positive,It does not matter how slowly you go as long as you do not stop
positive,Miracles happen to those who believe in them
positive,"Wherever you are, and whatever you do, be in love"
positive,Believe deep down in your heart that you’re destined to do great things
positive,"In the end, everything will be okay"
positive,One small positive thought can change your whole day
positive,How high you fly is derived from how big you think
positive,Attitude is a little thing that makes a big difference
positive,Optimism is a happiness magnet
positive,"If you stay positive, good things and good people will be drawn to you"
positive,"Wherever you go, no matter what the weather, always bring your own sunshine"
positive,"Arise, awake and stop not till the goal is reached"
positive,"Life has no limitations, except the ones you make"
positive,Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to be no hope at all
positive,"The less you respond to negative people, the more positive your life will become"
positive,great minds rise above them
positive,"I have decided to be happy, because it’s good for my health"
positive,"once you choose hope, anything’s possible"
positive,The best way to predict the future is to create it
positive,The first step is you have to say that you can
positive,change your thoughts and you change your world
positive,"Choose to be optimistic, it feels better"
positive,Write it on your heart that every day is the best day in the year. 
positive,Always turn a negative situation into a positive situation
positive,It makes a big difference in your life when you stay positive
positive,"The positive thinker sees the invisible, feels the intangible, and achieves the impossible"
positive,The optimist sees the opportunity in every difficulty
positive,"It doesn’t matter how slow you go, as long as you don’t stop"
positive,The future belongs to those who believe in the beauty of their dreams
positive,Believe that life is worth living and your belief will help create the fact
positive,The most certain way to succeed is always to try just one more time
positive,"if you keep positive and optimistic about what can be done, do work out"
positive,Every champion was once a contender that refused to give up
positive,Optimism is the faith that leads to achievement
positive,Be thankful for what you have; you’ll end up having more
positive,Positivity always wins…Always
positive,I will go anywhere as long as it’s forward
positive,Positive thoughts lead to positive results
positive,Everyday is a second chance
positive,Walk slowly but never walk backward
positive,Keep a smile on your face
positive,Stay positive; stay hopeful
positive,Turn every life situation into a positive one
positive,There is always something to be grateful for
positive,Miracles are born of conviction
positive,positive thinking
positive,The most important thing is to stay positive
positive,Most important thing first. Start now
positive,"If you tell yourself you feel fine, you will"
positive,Keep calm and keep learning
positive,Keep looking up… that’s the secret of life
positive,"If you want it and expect it, it will be yours very soon"
positive,The beginning is the most important part of any work
positive,Stay positive.
positive,"Being relaxed, at peace with yourself, confident, emotionally neutral loose, and free-floating – these are the keys to successful performance in almost everything"
positive,"Everywhere you go, make positive deposits"
positive,A little progress each day adds up to big results.
positive,You have the power to be excellent.
positive,you’re stronger than you know
positive,Positive thinking is empowering
positive,positive action is achieving
positive,Let’s make positivity louder.
positive,"Learn from yesterday, live for today, look to tomorrow"
positive,Let peace be your middle name
positive,A strong positive mental attitude will create more miracles
positive,You are joy
positive,There have to be positive feelings and positive actions
positive,Things turn out best for the people who make the best of the way things turn out
positive,Your positivity can become a castle around you
positive,There is some good in this world
positive,the more glorious the triumph
positive,Be happy. It’s one way of being wise
positive,Keep your face towards the sunshine and shadows will fall behind you
positive,"If you are positive, you’ll see opportunities"
positive,Optimism is the most important human trait
positive,Better to be an optimist
positive,Faith is having a positive attitude about what you can do
positive,Stay positive
positive,Positive thinking must be followed by positive doing
positive,accentuate the positive
positive,I will heighten my life by helping others heighten theirs
positive,Prepare to win the night before
positive,"You’ll have true happiness, true fulfillment, when you live to give"
positive,I really do believe I have everything I need to live a victorious life
positive,Positive thinking and visualizing my success were my keys to doing well
positive,it’s about contribution
positive,The most successful people in life are the ones who ask questions
positive,A successful man is one who can lay a firm foundation with the bricks others have thrown at him.
positive,I feel on top of the world
positive,I feel incredible
positive,I feel motivated
positive,I feel empowered
positive,I am the master of my own destiny
positive,"happiness, and prosperity to every person you meet"
positive,"Work hard, stay positive, and get up early. It’s the best part of the day"
positive,We would accomplish many more things
positive,Happiness is anyone and anything that’s loved by you
positive,"Happiness is having a large, loving, caring, close-knit family"
positive,Happiness does not depend on your circumstances. It’s a choice that you make.
positive,Be generous with your compliments and stingy with your complaints.
positive,Gratitude brings you more deeply into the present moment.
positive,Make your thinking as funny as possible. 
positive,You will never have this day again so make it count.
positive,The secret to happiness is letting every situation be what it is instead of what you think it should be
positive,Life becomes easier and more beautiful when we can see the good in other people
positive,"When you think and say “I can”, confidence and happiness will fill your entire being"
positive,passion pushes you to learn more
positive,The way you start your day determines how well you live your day
positive,Hope is having a positive attitude about everything that happens in life no matter what it is
positive,Learn how to be happy with what you have while you pursue all that you want
positive,Count your blessings
positive,Become the most positive and enthusiastic person you know
positive,Be the attitude you want to be around
positive,Perpetual optimism is a force multiplier.
positive,optimism leads to power
positive,A positive mind finds opportunity in everything
positive,you’re doing the best you can
positive,because you can see the good side of everything
positive,Attitudes are contagious
positive,Positive people have made up their mind to enjoy life
positive,Optimism refuses to believe that the road ends without options
positive,A positive attitude gives you power over your circumstances
positive,Stay positive in every situation and everything you do
positive,Very little is needed to make a happy life
positive,"it is all within yourself, in your way of thinking"
positive,As we become more and more positive and more and more joyful
positive,by our powerful example we uplift all of those around us
positive,"The more positive thoughts you entertain, the happier you will become"
positive,"If you don’t like the road you’re walking, start paving another one"
positive,Your thinking creates your world
positive,Love is a friendship set to music
positive,The art of love is largely the art of persistence
positive,"The moment we begin to seek love, love begins to seek us"
positive,Love in its essence is spiritual fire
positive,Love is a master key which opens the gate of happiness
positive,Today I feel great
positive,Today I feel excellent
positive,Today is going to be a good day
positive,Surround yourself with positive people that lift
positive,motivate and inspire you
positive,Get on with living and loving
positive,The positive force of love can create anything good
positive,The greatest gift you can ever give another person is your own happiness
positive,"Accept yourself, love yourself, and keep moving forward"
positive,"If you want to fly, you have to give up what weighs you down"
positive,"and in the end, the love you take, is equal to the love you make"
positive,Positive thinking is the key which unlocks the doors of the world
positive,"Let us always meet each other with smile, for the smile is the beginning of love"
positive,The way to love anything is to realize that it may be lost
positive,you create your own universe as you go along
positive,Imagination is everything. It is the preview of life’s coming attractions
positive,What a wonderful thought it is that some of the best days of our lives haven’t happened yet
positive,The energy that you put out comes back to you
positive,"When we are positive in our outlook and orientation, we tend to attract positive people and positive events and circumstances"
positive,Hope is a positive expectation that something good is going to happen
positive,Every single second is an opportunity to change your life
positive,"No matter how small you start, always dream big"
positive,Whatever the mind can conceive it can achieve
positive,"Think the thought until you believe it, and once you believe it, it is"
positive,"To bring anything into your life, imagine that it’s already there"
positive,"Affirm the positive, visualize the positive and expect the positive, and your life will change accordingly"
positive,"To attract positive energy in your life, be positive in thoughts and action"
positive,"If you can dream it, you can do it"
positive,Be strong because things will get better
positive,Optimism is joyful searching
positive,The greatest griefs are those we cause ourselves
positive,Pleasure in the job puts perfection in the work
positive,All happiness depends on courage and work
positive,"The harder you work, the luckier you get"
positive,"All you need is the plan, the road map, and the courage to press on to your destination"
positive,Small opportunities are often the beginning of great enterprises
positive,A positive attitude will have positive results because attitudes are contagious
positive,How hard you work matters more than how much you make
positive,"The more you drive positive change, the more enhanced your business model"
positive,"When you are inspired in your work, everything seems to fall into place"
positive,We get what we want when we stay focused and do the work
positive,Real success is finding your lifework in the work that you love
positive,An attitude of positive expectation is the mark of the superior personality
positive,"Work, continuous work and hard work, is the only way to accomplish results that last"
positive,"Remember, work, well done, does good to the man who does it"
positive,You are never too old to set another goal or to dream a new dream
positive,Work hard at work worth doing
positive,Sometimes it’s positive
positive,Today’s a great day to change a life. Starting with yours
positive,all of my positive energy on changing the world
positive,it gets better by change
positive,The measure of intelligence is the ability to change
positive,"When you have a positive mindset,"
positive,The dreamers are the saviors of the world
positive,Surround yourself with positive people and situations
positive,If I persist long enough I will win
positive,Focus on your potential
positive,Our beliefs about what we are and what we can be precisely determine what we can be
positive,Make improvements
positive,Start each day with a positive thought and a grateful heart
positive,"Your energy is contagious, so think about what you want people to catch from you"
positive,Positive thoughts = Positive life
positive,"We can change our lives. We can do, have, and be exactly what we wish"
positive,Today I woke up feeling great
